"female","race","outcome","pathway","riskfactor","V1","V2","V3"
0,1,"AA","direct","dairy_tot",0,0,0
0,1,"AA","medBMI","dairy_tot",0,0,0
0,1,"AA","medSBP","dairy_tot",0,0,0
0,1,"AFF","direct","dairy_tot",0,0,0
0,1,"AFF","medBMI","dairy_tot",0,0,0
0,1,"AFF","medSBP","dairy_tot",0,0,0
0,1,"APCA","direct","dairy_tot",0,0,0
0,1,"APCA","medBMI","dairy_tot",0,0,0
0,1,"APCA","medSBP","dairy_tot",0,0,0
0,1,"BC","direct","dairy_tot",NA,NA,NA
0,1,"BC","medBMI","dairy_tot",NA,NA,NA
0,1,"BC","medSBP","dairy_tot",NA,NA,NA
0,1,"CC","direct","dairy_tot",0.0744144840297228,0.0628167997216803,0.0735367138001741
0,1,"CC","medBMI","dairy_tot",0,0,0
0,1,"CC","medSBP","dairy_tot",0,0,0
0,1,"CM","direct","dairy_tot",0,0,0
0,1,"CM","medBMI","dairy_tot",0,0,0
0,1,"CM","medSBP","dairy_tot",0,0,0
0,1,"DIAB","direct","dairy_tot",0,0,0
0,1,"DIAB","medBMI","dairy_tot",0,0,0
0,1,"DIAB","medSBP","dairy_tot",0,0,0
0,1,"ECA","direct","dairy_tot",0,0,0
0,1,"ECA","medBMI","dairy_tot",0,0,0
0,1,"ECA","medSBP","dairy_tot",0,0,0
0,1,"ENDO","direct","dairy_tot",0,0,0
0,1,"ENDO","medBMI","dairy_tot",0,0,0
0,1,"ENDO","medSBP","dairy_tot",0,0,0
0,1,"GC","direct","dairy_tot",0,0,0
0,1,"GC","medBMI","dairy_tot",0,0,0
0,1,"GC","medSBP","dairy_tot",0,0,0
0,1,"HHD","direct","dairy_tot",0,0,0
0,1,"HHD","medBMI","dairy_tot",0,0,0
0,1,"HHD","medSBP","dairy_tot",0,0,0
0,1,"HSTK","direct","dairy_tot",0,0,0
0,1,"HSTK","medBMI","dairy_tot",0,0,0
0,1,"HSTK","medSBP","dairy_tot",0,0,0
0,1,"IHD","direct","dairy_tot",0,0,0
0,1,"IHD","medBMI","dairy_tot",0,0,0
0,1,"IHD","medSBP","dairy_tot",0,0,0
0,1,"ISTK","direct","dairy_tot",0,0,0
0,1,"ISTK","medBMI","dairy_tot",0,0,0
0,1,"ISTK","medSBP","dairy_tot",0,0,0
0,1,"KC","direct","dairy_tot",0,0,0
0,1,"KC","medBMI","dairy_tot",0,0,0
0,1,"KC","medSBP","dairy_tot",0,0,0
0,1,"LC","direct","dairy_tot",0,0,0
0,1,"LC","medBMI","dairy_tot",0,0,0
0,1,"LC","medSBP","dairy_tot",0,0,0
0,1,"LVC","direct","dairy_tot",0,0,0
0,1,"LVC","medBMI","dairy_tot",0,0,0
0,1,"LVC","medSBP","dairy_tot",0,0,0
0,1,"MLPC","direct","dairy_tot",0,0,0
0,1,"MLPC","medBMI","dairy_tot",0,0,0
0,1,"MLPC","medSBP","dairy_tot",0,0,0
0,1,"MMC","direct","dairy_tot",0,0,0
0,1,"MMC","medBMI","dairy_tot",0,0,0
0,1,"MMC","medSBP","dairy_tot",0,0,0
0,1,"OC","direct","dairy_tot",NA,NA,NA
0,1,"OC","medBMI","dairy_tot",NA,NA,NA
0,1,"OC","medSBP","dairy_tot",NA,NA,NA
0,1,"OSTK","direct","dairy_tot",0,0,0
0,1,"OSTK","medBMI","dairy_tot",0,0,0
0,1,"OSTK","medSBP","dairy_tot",0,0,0
0,1,"OTH","direct","dairy_tot",0,0,0
0,1,"OTH","medBMI","dairy_tot",0,0,0
0,1,"OTH","medSBP","dairy_tot",0,0,0
0,1,"PC","direct","dairy_tot",0,0,0
0,1,"PC","medBMI","dairy_tot",0,0,0
